Ürün Adı,Fiyat,Ekran Boyutu,Dahili Depolama,Bellek (RAM),Batarya Kapasitesi,Teknik Puan,Link
Samsung Galaxy Z Fold3 5G,20413.5,6.2 İnç,256 GB,12 GB,4400 mAh,87.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-z-fold3-5g.html
Apple iPhone 12 Pro,14043.0,6.1 İnç,256 GB,6 GB,2815 mAh,87.0,https://www.epey.com/akilli-telefonlar/apple-iphone-12-pro-256gb.html
Samsung Galaxy S20,7765.5,6.2 İnç,128 GB,8 GB,4000 mAh,86.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-s20.html
Apple iPhone 12 Pro,13578.0,6.1 İnç,128 GB,6 GB,2815 mAh,86.0,https://www.epey.com/akilli-telefonlar/apple-iphone-12-pro.html
Xiaomi Mi 10,8819.99,6.67 İnç,256 GB,8 GB,4780 mAh,85.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-10.html
Samsung Galaxy S10+ Plus,,6.4 İnç,512 GB,8 GB,4100 mAh,85.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-s10-plus-512gb.html
Samsung Galaxy S20 FE,5533.5,6.5 İnç,256 GB,8 GB,4500 mAh,85.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-s20-fe-256gb.html
Samsung Galaxy S20 FE,5172.0,6.5 İnç,128 GB,6 GB,4500 mAh,85.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-s20-fe.html
Huawei Mate 30 Pro,,6.53 İnç,256 GB,8 GB,4500 mAh,85.0,https://www.epey.com/akilli-telefonlar/huawei-mate-30-pro.html
Samsung Galaxy Note 20,7825.03,6.7 İnç,256 GB,8 GB,4300 mAh,84.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-note-20.html
Samsung Galaxy S10+ Plus,7177.03,6.4 İnç,128 GB,8 GB,4100 mAh,83.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-s10-plus.html
Xiaomi Black Shark 4,8299.0,6.67 İnç,256 GB,12 GB,4500 mAh,83.0,https://www.epey.com/akilli-telefonlar/xiaomi-black-shark-4-256gb.html
Apple iPhone 12,11299.9,6.1 İnç,256 GB,4 GB,2815 mAh,83.0,https://www.epey.com/akilli-telefonlar/apple-iphone-12-256gb.html
Xiaomi Mi 10T Pro,8675.34,6.67 İnç,256 GB,8 GB,5000 mAh,83.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-10t-pro-256gb.html
Poco F2 Pro,5486.07,6.67 İnç,256 GB,8 GB,4700 mAh,83.0,https://www.epey.com/akilli-telefonlar/poco-f2-pro-256gb.html
Samsung Galaxy S10,7179.0,6.1 İnç,128 GB,8 GB,3400 mAh,82.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-s10.html
realme GT,7365.75,6.43 İnç,128 GB,8 GB,4500 mAh,82.0,https://www.epey.com/akilli-telefonlar/realme-gt.html
Apple iPhone 12 mini,10699.0,5.4 İnç,256 GB,4 GB,2227 mAh,82.0,https://www.epey.com/akilli-telefonlar/apple-iphone-12-mini-256gb.html
Apple iPhone 12,10769.0,6.1 İnç,128 GB,4 GB,2815 mAh,82.0,https://www.epey.com/akilli-telefonlar/apple-iphone-12-128gb.html
Apple iPhone 11 Pro Max,16390.32,6.5 İnç,512 GB,4 GB,3969 mAh,81.0,https://www.epey.com/akilli-telefonlar/apple-iphone-11-pro-max-512gb.html
Poco F3,6607.65,6.67 İnç,256 GB,8 GB,4520 mAh,81.0,https://www.epey.com/akilli-telefonlar/poco-f3-256gb.html
Samsung Galaxy Note 10,7720.0,6.3 İnç,256 GB,8 GB,3500 mAh,81.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-note-10.html
OnePlus 8,6652.29,6.55 İnç,128 GB,8 GB,4300 mAh,81.0,https://www.epey.com/akilli-telefonlar/oneplus-8.html
OnePlus 7T Pro,8269.88,6.67 İnç,256 GB,8 GB,4085 mAh,81.0,https://www.epey.com/akilli-telefonlar/oneplus-7t-pro.html
Apple iPhone 12 mini,9904.5,5.4 İnç,128 GB,4 GB,2227 mAh,81.0,https://www.epey.com/akilli-telefonlar/apple-iphone-12-mini-128gb.html
Samsung Galaxy Z Fold2,15763.5,6.2 İnç,256 GB,12 GB,4500 mAh,80.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-z-fold2.html
Apple iPhone 12,9754.77,6.1 İnç,64 GB,4 GB,2815 mAh,80.0,https://www.epey.com/akilli-telefonlar/apple-iphone-12.html
Poco F2 Pro,4939.05,6.67 İnç,128 GB,6 GB,4700 mAh,80.0,https://www.epey.com/akilli-telefonlar/poco-f2-pro.html
Huawei P40,6993.0,6.1 İnç,128 GB,8 GB,3800 mAh,80.0,https://www.epey.com/akilli-telefonlar/huawei-p40.html
Huawei P30 Pro,,6.47 İnç,256 GB,8 GB,4200 mAh,80.0,https://www.epey.com/akilli-telefonlar/huawei-p30-pro-256gb.html
Apple iPhone 11 Pro,13020.0,5.8 İnç,512 GB,4 GB,3046 mAh,80.0,https://www.epey.com/akilli-telefonlar/apple-iphone-11-pro-512gb.html
Xiaomi Mi 10T,,6.67 İnç,128 GB,8 GB,5000 mAh,80.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-10t-8gb.html
Huawei Mate 20 Pro,7679.99,6.39 İnç,128 GB,6 GB,4200 mAh,79.0,https://www.epey.com/akilli-telefonlar/huawei-mate-20-pro.html
Apple iPhone 12 mini,8599.0,5.4 İnç,64 GB,4 GB,2227 mAh,79.0,https://www.epey.com/akilli-telefonlar/apple-iphone-12-mini.html
Apple iPhone 11 Pro,14415.0,5.8 İnç,256 GB,4 GB,3046 mAh,79.0,https://www.epey.com/akilli-telefonlar/apple-iphone-11-pro-256gb.html
Samsung Galaxy Z Flip3 5G,10403.91,6.7 İnç,128 GB,8 GB,3300 mAh,79.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-z-flip3-5g.html
Xiaomi Mi 10T,6927.57,6.67 İnç,128 GB,6 GB,5000 mAh,79.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-10t.html
Poco F3,4991.31,6.67 İnç,128 GB,6 GB,4520 mAh,79.0,https://www.epey.com/akilli-telefonlar/poco-f3.html
Oppo Reno 10x Zoom,,6.6 İnç,256 GB,8 GB,4065 mAh,78.0,https://www.epey.com/akilli-telefonlar/oppo-reno-10x-zoom.html
Apple iPhone 11 Pro Max,15484.5,6.5 İnç,64 GB,4 GB,3969 mAh,78.0,https://www.epey.com/akilli-telefonlar/apple-iphone-11-pro-max.html
Huawei P30 Pro,10999.64,6.47 İnç,128 GB,6 GB,4200 mAh,78.0,https://www.epey.com/akilli-telefonlar/huawei-p30-pro.html
Xiaomi Black Shark 3,5941.77,6.67 İnç,128 GB,8 GB,4720 mAh,78.0,https://www.epey.com/akilli-telefonlar/xiaomi-black-shark-3.html
OnePlus 7T,5739.99,6.55 İnç,128 GB,8 GB,3800 mAh,78.0,https://www.epey.com/akilli-telefonlar/oneplus-7t.html
HTC U11,3240.0,5.5 İnç,64 GB,4 GB,3000 mAh,59.0,https://www.epey.com/akilli-telefonlar/htc-u11.html
Redmi Note 10 5G,3306.14,6.5 İnç,128 GB,4 GB,5000 mAh,58.0,https://www.epey.com/akilli-telefonlar/redmi-note-10-5g.html
Pocophone F1,,6.18 İnç,64 GB,6 GB,4000 mAh,58.0,https://www.epey.com/akilli-telefonlar/pocophone-f1.html
OnePlus 5,,5.5 İnç,128 GB,8 GB,3300 mAh,58.0,https://www.epey.com/akilli-telefonlar/oneplus-5-128gb.html
Oppo Reno Z,,6.4 İnç,128 GB,4 GB,4035 mAh,58.0,https://www.epey.com/akilli-telefonlar/oppo-reno-z.html
Meizu 16Xs,,6.2 İnç,128 GB,6 GB,4000 mAh,58.0,https://www.epey.com/akilli-telefonlar/meizu-16xs-128gb.html
Huawei P20,5021.07,5.8 İnç,128 GB,4 GB,3400 mAh,58.0,https://www.epey.com/akilli-telefonlar/huawei-p20.html
General Mobile GM 21 Pro d,2418.0,6.67 İnç,128 GB,6 GB,5000 mAh,58.0,https://www.epey.com/akilli-telefonlar/general-mobile-gm-21-pro-cift-hat.html
General Mobile GM 21 Pro,2417.07,6.67 İnç,128 GB,6 GB,5000 mAh,58.0,https://www.epey.com/akilli-telefonlar/general-mobile-gm-21-pro.html
Oppo A91,3915.3,6.4 İnç,128 GB,8 GB,4025 mAh,58.0,https://www.epey.com/akilli-telefonlar/oppo-a91.html
Realme 5 Pro,4052.9,6.3 İnç,128 GB,4 GB,4035 mAh,58.0,https://www.epey.com/akilli-telefonlar/realme-5-pro.html
Samsung Galaxy A9 (2018),4788.99,6.3 İnç,128 GB,6 GB,3800 mAh,58.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a9-2018.html
Samsung Galaxy M21,2399.41,6.4 İnç,64 GB,4 GB,6000 mAh,58.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-m21.html
Samsung Galaxy M30s,3639.0,6.4 İnç,64 GB,4 GB,6000 mAh,58.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-m30s.html
Apple iPhone 8 Plus,9170.0,5.5 İnç,128 GB,3 GB,2675 mAh,58.0,https://www.epey.com/akilli-telefonlar/apple-iphone-8-plus-128gb.html
Xiaomi Black Shark,,5.99 İnç,128 GB,8 GB,4000 mAh,57.0,https://www.epey.com/akilli-telefonlar/xiaomi-black-shark-128gb.html
Samsung Galaxy A32,3300.57,6.4 İnç,64 GB,4 GB,5000 mAh,57.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a32.html
Vivo X50 Lite,3290.0,6.38 İnç,128 GB,8 GB,4500 mAh,57.0,https://www.epey.com/akilli-telefonlar/vivo-x50-lite.html
Vivo Y70,3372.68,6.44 İnç,128 GB,8 GB,4100 mAh,57.0,https://www.epey.com/akilli-telefonlar/vivo-y70.html
Xiaomi Mi 6 Ceramic,,5.15 İnç,128 GB,6 GB,3350 mAh,57.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-6-ceramic.html
Xiaomi Mi 6,,5.15 İnç,128 GB,6 GB,3350 mAh,57.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-6-128gb.html
Redmi Note 10 5G,3578.64,6.5 İnç,64 GB,4 GB,5000 mAh,57.0,https://www.epey.com/akilli-telefonlar/redmi-note-10-5g-64gb.html
Redmi 9T,2700.0,6.53 İnç,128 GB,4 GB,6000 mAh,57.0,https://www.epey.com/akilli-telefonlar/redmi-9t-128gb.html
Samsung Galaxy A31,3189.9,6.4 İnç,128 GB,4 GB,5000 mAh,57.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a31.html
Oppo A74,2835.57,6.43 İnç,128 GB,4 GB,5000 mAh,57.0,https://www.epey.com/akilli-telefonlar/oppo-a74.html
TCL 20L+,3404.02,6.67 İnç,256 GB,6 GB,5000 mAh,57.0,https://www.epey.com/akilli-telefonlar/tcl-20l-plus.html
Poco M3 Pro 5G,2642.13,6.5 İnç,64 GB,4 GB,5000 mAh,57.0,https://www.epey.com/akilli-telefonlar/poco-m3-pro-5g.html
Meizu 16Xs,,6.2 İnç,64 GB,6 GB,4000 mAh,57.0,https://www.epey.com/akilli-telefonlar/meizu-16xs.html
OnePlus 5T,,6.01 İnç,128 GB,8 GB,3300 mAh,57.0,https://www.epey.com/akilli-telefonlar/oneplus-5t-128gb.html
Samsung Galaxy A50,3514.47,6.4 İnç,128 GB,6 GB,4000 mAh,57.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a50-dual-128gb.html
Nokia 8,,5.3 İnç,64 GB,4 GB,3090 mAh,56.0,https://www.epey.com/akilli-telefonlar/nokia-8.html
Apple iPhone XS,12683.54,5.8 İnç,512 GB,4 GB,2658 mAh,71.0,https://www.epey.com/akilli-telefonlar/apple-iphone-xs-512gb.html
LG Velvet,6999.0,6.8 İnç,128 GB,6 GB,4300 mAh,71.0,https://www.epey.com/akilli-telefonlar/lg-velvet-4g.html
Redmi Note 10 Pro,4565.37,6.67 İnç,128 GB,8 GB,5020 mAh,71.0,https://www.epey.com/akilli-telefonlar/redmi-note-10-pro-8gb.html
Huawei P30,6788.07,6.1 İnç,128 GB,6 GB,3650 mAh,71.0,https://www.epey.com/akilli-telefonlar/huawei-p30.html
Xiaomi Mi Note 10,5114.07,6.47 İnç,128 GB,6 GB,5260 mAh,70.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-note-10.html
Apple iPhone XS,11438.07,5.8 İnç,256 GB,4 GB,2658 mAh,70.0,https://www.epey.com/akilli-telefonlar/apple-iphone-xs-256gb.html
Samsung Galaxy Note 10 Lite,6133.35,6.7 İnç,128 GB,8 GB,4500 mAh,70.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-note-10-lite.html
Apple iPhone 11,7999.0,6.1 İnç,64 GB,4 GB,3110 mAh,70.0,https://www.epey.com/akilli-telefonlar/apple-iphone-11.html
Oppo Reno 2,,6.5 İnç,256 GB,8 GB,4000 mAh,70.0,https://www.epey.com/akilli-telefonlar/oppo-reno2.html
Samsung Galaxy S9+ (Plus),7719.04,6.2 İnç,64 GB,6 GB,3500 mAh,70.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-s9-plus.html
Redmi Note 10 Pro,4402.02,6.67 İnç,128 GB,6 GB,5020 mAh,69.0,https://www.epey.com/akilli-telefonlar/redmi-note-10-pro.html
Samsung Galaxy S9+ (Plus),,6.2 İnç,64 GB,6 GB,3500 mAh,69.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-s9-plus-duos.html
Vivo V21,5078.09,6.44 İnç,128 GB,8 GB,4000 mAh,69.0,https://www.epey.com/akilli-telefonlar/vivo-v21.html
Samsung Galaxy M51,6974.07,6.7 İnç,128 GB,8 GB,7000 mAh,69.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-m51.html
Apple iPhone XS Max,11119.0,6.5 İnç,64 GB,4 GB,3174 mAh,69.0,https://www.epey.com/akilli-telefonlar/apple-iphone-xs-max.html
Oppo Reno 4 Pro,4409.0,6.5 İnç,256 GB,8 GB,4000 mAh,69.0,https://www.epey.com/akilli-telefonlar/oppo-reno-4-pro.html
Xiaomi Mi 10T Lite,4185.0,6.67 İnç,128 GB,6 GB,4820 mAh,68.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-10t-lite-128gb.html
Xiaomi Mi 11 Lite,4511.43,6.55 İnç,128 GB,8 GB,4250 mAh,68.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-11-lite-8gb.html
Apple iPhone XS,8835.0,5.8 İnç,64 GB,4 GB,2658 mAh,68.0,https://www.epey.com/akilli-telefonlar/apple-iphone-xs.html
Huawei P20 Pro,5644.28,6.1 İnç,128 GB,6 GB,4000 mAh,68.0,https://www.epey.com/akilli-telefonlar/huawei-p20-pro.html
Xiaomi Mi 11 Lite,4091.07,6.55 İnç,128 GB,6 GB,4250 mAh,67.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-11-lite.html
Xiaomi Mi 10 Lite,4463.07,6.57 İnç,128 GB,6 GB,4160 mAh,67.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-10-lite-5g.html
Xiaomi Mi 10T Lite,,6.67 İnç,64 GB,6 GB,4820 mAh,67.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-10t-lite.html
Samsung Galaxy S9,6271.54,5.8 İnç,64 GB,4 GB,3000 mAh,67.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-s9.html
Poco X3 NFC,3657.0,6.67 İnç,128 GB,6 GB,5160 mAh,67.0,https://www.epey.com/akilli-telefonlar/poco-x3-nfc-128gb.html
Oppo Reno5,6180.0,6.4 İnç,128 GB,8 GB,4310 mAh,66.0,https://www.epey.com/akilli-telefonlar/oppo-reno5.html
Oppo Reno5 Marvel Edition,,6.4 İnç,128 GB,8 GB,4310 mAh,66.0,https://www.epey.com/akilli-telefonlar/oppo-reno5-marvel-edition.html
Realme 7 Pro,5046.62,6.4 İnç,128 GB,8 GB,4500 mAh,66.0,https://www.epey.com/akilli-telefonlar/realme-7-pro.html
Samsung Galaxy A71,4650.0,6.7 İnç,128 GB,8 GB,4500 mAh,66.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a71.html
Samsung Galaxy Note 8,,6.3 İnç,64 GB,6 GB,3300 mAh,66.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-note-8.html
Xiaomi Mi Note 10 Lite,5361.66,6.47 İnç,128 GB,8 GB,5260 mAh,66.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-note-10-lite-8gb.html
Redmi Note 10,3068.07,6.43 İnç,64 GB,4 GB,5000 mAh,61.0,https://www.epey.com/akilli-telefonlar/redmi-note-10.html
Samsung Galaxy A51,3737.29,6.5 İnç,128 GB,6 GB,4000 mAh,61.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a51.html
Samsung Galaxy S7 edge (128GB),,5.5 İnç,128 GB,4 GB,3600 mAh,61.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-s7-edge-128gb.html
Realme XT,,6.4 İnç,128 GB,8 GB,4000 mAh,61.0,https://www.epey.com/akilli-telefonlar/realme-xt.html
Huawei Mate 10,,5.9 İnç,64 GB,4 GB,4000 mAh,61.0,https://www.epey.com/akilli-telefonlar/huawei-mate-10-alp-l09.html
Oppo Reno 4 Lite,3099.1,6.43 İnç,128 GB,8 GB,4000 mAh,61.0,https://www.epey.com/akilli-telefonlar/oppo-reno-4-lite.html
Oppo RX17 Pro,,6.4 İnç,128 GB,6 GB,3700 mAh,60.0,https://www.epey.com/akilli-telefonlar/oppo-rx17-pro.html
Huawei P40 Lite,3399.0,6.4 İnç,128 GB,6 GB,4200 mAh,60.0,https://www.epey.com/akilli-telefonlar/huawei-p40-lite.html
Xiaomi Mi MIX 2S,,5.99 İnç,128 GB,6 GB,3400 mAh,60.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-mix-2s-128gb.html
TCL 10 Plus,,6.47 İnç,128 GB,6 GB,4500 mAh,60.0,https://www.epey.com/akilli-telefonlar/tcl-10-plus-128gb.html
Apple iPhone X,,5.8 İnç,64 GB,3 GB,2716 mAh,60.0,https://www.epey.com/akilli-telefonlar/apple-iphone-x.html
Samsung Galaxy Note FE (Fan Edition),,5.7 İnç,64 GB,4 GB,3200 mAh,60.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-note-fe.html
Huawei Mate 10,,5.9 İnç,64 GB,4 GB,4000 mAh,60.0,https://www.epey.com/akilli-telefonlar/huawei-mate-10.html
Meizu 16th,,6.0 İnç,64 GB,6 GB,3010 mAh,60.0,https://www.epey.com/akilli-telefonlar/meizu-16-th.html
Realme 6,3719.07,6.5 İnç,128 GB,4 GB,4300 mAh,60.0,https://www.epey.com/akilli-telefonlar/realme-6.html
Huawei P10 Plus,,5.5 İnç,128 GB,6 GB,3750 mAh,60.0,https://www.epey.com/akilli-telefonlar/huawei-p10-plus.html
Sony Xperia XZ Premium,,5.5 İnç,64 GB,4 GB,3230 mAh,60.0,https://www.epey.com/akilli-telefonlar/sony-xperia-xz-premium.html
Samsung Galaxy A32,3254.07,6.4 İnç,128 GB,6 GB,5000 mAh,60.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a32-128gb.html
Asus ZenFone 5Z,,6.2 İnç,64 GB,6 GB,3300 mAh,60.0,https://www.epey.com/akilli-telefonlar/asus-zenfone-5z.html
