Ürün Adı,Fiyat,Ekran Boyutu,Bellek (RAM),İşlemci Modeli,Teknik Puan,Link
MSI GL75 Leopard 9SDR-299XTR,15009.05,17.3 İnç,16 GB,Intel Core i7-9750H,58.0,https://www.epey.com/laptop/msi-gl75-leopard-9sdr-299xtr.html
MSI Katana GF76 11UC-060XTR,13499.0,17.3 İnç,8 GB,Intel Core i7-11800H,58.0,https://www.epey.com/laptop/msi-katana-gf76-11uc-060xtr.html
Dell G15 Gaming 5510 6B870D5F16C08,17636.04,15.6 İnç,32 GB,Intel Core i7-10870H,57.0,https://www.epey.com/laptop/dell-g15-gaming-5510-6b870d5f16c08.html
Monster Abra A7 V11.4,12182.07,17.3 İnç,8 GB,Intel Core i7-11800H,57.0,https://www.epey.com/laptop/monster-abra-a7-v11-4.html
Lenovo ThinkPad P15v 20TQS08Q00,19220.04,15.6 İnç,16 GB,Intel Core i7-10750H,57.0,https://www.epey.com/laptop/lenovo-thinkpad-p15v-20tqs08q00.html
Game Garaj Tracer 7TN-02,12965.23,15.6 İnç,16 GB,Intel Core i7-10750H,57.0,https://www.epey.com/laptop/game-garaj-tracer-7tn-02.html
HP ZBook Fury 15 G7 (119X0EA),20444.0,15.6 İnç,16 GB,Intel Core i7-10750H,57.0,https://www.epey.com/laptop/hp-zbook-fury-15-g7-119x0ea.html
HP ZBook Power G7 (2C9N0EA09),31016.55,15.6 İnç,64 GB,Intel Xeon W-10855M,57.0,https://www.epey.com/laptop/hp-zbook-power-g7-2c9n0ea09.html
HP ZBook Studio G7 (1J3S6EA),26944.0,15.6 İnç,16 GB,Intel Core i7-10850H,57.0,https://www.epey.com/laptop/hp-zbook-studio-g7-1j3s6ea.html
Lenovo IdeaPad Flex 5 82HS00FETX,11699.0,14.0 İnç,16 GB,Intel Core i5-1135G7,57.0,https://www.epey.com/laptop/lenovo-ideapad-flex-5-82hs00fetx.html
Dell XPS 17-9700 XPS179700CMLH1200A6,33668.04,17.0 İnç,64 GB,Intel Core i7-10750H,57.0,https://www.epey.com/laptop/dell-xps-17-9700-xps179700cmlh1200a6.html
HP ZBook Fury 15 G7 (119X6EA),25865.82,15.6 İnç,16 GB,Intel Core i7-10850H,57.0,https://www.epey.com/laptop/hp-zbook-fury-15-g7-119x6ea.html
HP ZBook Power G7 (1J3Y1EA),18744.0,15.6 İnç,16 GB,Intel Core i7-10750H,57.0,https://www.epey.com/laptop/hp-zbook-power-g7-1j3y1ea.html
Lenovo IdeaPad Creator 5 82D4004STX,13649.02,15.6 İnç,16 GB,Intel Core i7-10750H,57.0,https://www.epey.com/laptop/lenovo-ideapad-creator-5-82d4004stx.html
Lenovo IdeaPad Creator 5 82D4002MTX,13155.99,15.6 İnç,16 GB,Intel Core i7-10750H,57.0,https://www.epey.com/laptop/lenovo-ideapad-creator-5-82d4002mtx.html
HP ZBook Power G7 (2C9N0EA08),30256.55,15.6 İnç,64 GB,Intel Xeon W-10855M,57.0,https://www.epey.com/laptop/hp-zbook-power-g7-2c9n0ea08.html
Dell G5 15 SELEKG5CMLH21012600,17550.0,15.6 İnç,16 GB,Intel Core i7-10750H,57.0,https://www.epey.com/laptop/dell-g5-15-selekg5cmlh21012600.html
Asus ZenBook 14 UX435EG-A5009T,16434.0,14.0 İnç,16 GB,Intel Core i7-1165G7,57.0,https://www.epey.com/laptop/asus-zenbook-14-ux435eg-a5009t.html
Huawei MateBook 14 R7 (16GB/512SSD),,14.0 İnç,16 GB,AMD Ryzen 7 4800H,,https://track.adform.net/C/?bn=50429250
Asus Zenbook Flip S UX371EA-HL003T,20718.99,13.3 İnç,16 GB,Intel Core i7-1165G7,55.0,https://www.epey.com/laptop/asus-zenbook-flip-s-ux371ea-hl003t.html
Asus TUF Dash F15 FX516PC-HN003,10601.07,15.6 İnç,16 GB,Intel Core i5-11300H,55.0,https://www.epey.com/laptop/asus-tuf-dash-f15-fx516pc-hn003.html
Asus TUF Dash F15 FX516PC-HN023,11950.79,15.6 İnç,16 GB,Intel Core i5-11300H,55.0,https://www.epey.com/laptop/asus-tuf-dash-f15-fx516pc-hn023.html
MSI Summit E13 Flip Evo A11MT-231TR,22444.99,13.4 İnç,32 GB,Intel Core i7-1195G7,55.0,https://www.epey.com/laptop/msi-summit-e13-flip-evo-a11mt-231tr.html
Lenovo IdeaPad Gaming 3 81Y400XMTX11,16857.48,15.6 İnç,64 GB,Intel Core i7-10750H,55.0,https://www.epey.com/laptop/lenovo-ideapad-gaming-3-81y400xmtx11.html
Dell Vostro 3400 B65G7F85N22,14099.04,14.0 İnç,64 GB,Intel Core i7-1165G7,55.0,https://www.epey.com/laptop/dell-vostro-3400-b65g7f85n22.html
Dell XPS 17-9700 XPS179700CMLH1200A4,32852.04,17.0 İnç,32 GB,Intel Core i7-10750H,55.0,https://www.epey.com/laptop/dell-xps-17-9700-xps179700cmlh1200a4.html
Lenovo ThinkPad P14s 20S40040TX,21848.1,14.0 İnç,16 GB,Intel Core i7-10610U,55.0,https://www.epey.com/laptop/lenovo-thinkpad-p14s-20s40040tx.html
Dell Vostro 3500 N3003VN3500EMEA0_U18,11268.07,15.6 İnç,64 GB,Intel Core i5-1135G7,55.0,https://www.epey.com/laptop/dell-vostro-3500-n3003vn3500emea0-u18.html
Acer Book RS Porsche Design AP714-51GT-75K3,16999.0,14.0 İnç,16 GB,Intel Core i7-1165G7,55.0,https://www.epey.com/laptop/acer-book-rs-porsche-design-ap714-51gt-75k3.html
Apple MacBook Pro 15.4 (MR942TU/A),28998.0,15.4 İnç,16 GB,Intel Core i7-8750H,55.0,https://www.epey.com/laptop/apple-macbook-pro-15-4-mr942tu-a.html
MSI GL65 Leopard 10SDR-492A2,14069.97,15.6 İnç,16 GB,Intel Core i7-10750H,55.0,https://www.epey.com/laptop/msi-gl65-leopard-10sdr-492a2.html
Dell G3 15 B750F8512C18,15221.78,15.6 İnç,64 GB,Intel Core i7-10750H,55.0,https://www.epey.com/laptop/dell-g3-15-b750f8512c18.html
MSI GS73 Stealth 8RE-021XTR,11155.0,17.3 İnç,16 GB,Intel Core i7-8750H,55.0,https://www.epey.com/laptop/msi-gs73-8re-021xtr.html
HP Pavilion Gaming 15-dk1001nt (1U5R1EA),10915.4,15.6 İnç,16 GB,Intel Core i5-10300H,55.0,https://www.epey.com/laptop/hp-pavilion-gaming-15-dk1001nt-1u5r1ea.html
Dell XPS 13-9305 UTS11WP165N,17483.07,13.3 İnç,16 GB,Intel Core i7-1165G7,55.0,https://www.epey.com/laptop/dell-xps-13-9305-uts11wp165n.html
Lenovo IdeaPad L340 Gaming 81LK014MTX,12999.0,15.6 İnç,16 GB,Intel Core i7-9750HF,55.0,https://www.epey.com/laptop/lenovo-l340-81lk014mtx.html
Lenovo Yoga 9 82BG007PTX,19999.0,14.0 İnç,16 GB,Intel Core i7-1185G7,55.0,https://www.epey.com/laptop/lenovo-yoga-9-82bg007ptx.html
HP ZBook Power G7 (2C9N0EA05),29069.05,15.6 İnç,32 GB,Intel Xeon W-10855M,54.0,https://www.epey.com/laptop/hp-zbook-power-g7-2c9n0ea05.html
Dell G3 15 B750F8512C17,14884.04,15.6 İnç,64 GB,Intel Core i7-10750H,54.0,https://www.epey.com/laptop/dell-g3-15-b750f8512c17.html
Asus TUF Gaming F15 FX506HEB-HN148T,14365.0,15.6 İnç,8 GB,Intel Core i5-11400H,54.0,https://www.epey.com/laptop/asus-tuf-gaming-f15-fx506heb-hn148t.html
Lenovo IdeaPad Gaming 3 81Y400XMTX10,16112.52,15.6 İnç,64 GB,Intel Core i7-10750H,54.0,https://www.epey.com/laptop/lenovo-ideapad-gaming-3-81y400xmtx10.html
Dell Vostro 3400 B65G7F85N21,13157.15,14.0 İnç,64 GB,Intel Core i7-1165G7,54.0,https://www.epey.com/laptop/dell-vostro-3400-b65g7f85n21.html
MSI Prestige 14 A11SCX-222TR,15547.88,14.0 İnç,16 GB,Intel Core i7-1185G7,54.0,https://www.epey.com/laptop/msi-prestige-14-a11scx-222tr.html
MSI Prestige 14 A11SC-014TR,13679.99,14.0 İnç,16 GB,Intel Core i7-1185G7,54.0,https://www.epey.com/laptop/msi-prestige-14-a11sc-014tr.html
Dell XPS 17-9700 XPS179700CMLH1200A3,31940.04,17.0 İnç,32 GB,Intel Core i7-10750H,54.0,https://www.epey.com/laptop/dell-xps-17-9700-xps179700cmlh1200a3.html
Dell Vostro 3500 N3003VN3500EMEA0_U11,10370.04,15.6 İnç,16 GB,Intel Core i5-1135G7,54.0,https://www.epey.com/laptop/dell-vostro-3500-n3003vn3500emea0-u11.html
Dell XPS 13 9310 XPS1393102TGLU1900,23025.87,13.4 İnç,16 GB,Intel Core i7-1165G7,54.0,https://www.epey.com/laptop/dell-xps-13-9310-xps1393102tglu1900.html
Lenovo Thinkpad E14 G3 20Y70041TX,11423.99,14.0 İnç,16 GB,AMD Ryzen 7 5700U,54.0,https://www.epey.com/laptop/lenovo-thinkpad-e14-g3-20y70041tx.html
Asus TUF Gaming F15 FX506HCB-HN144,12089.07,15.6 İnç,8 GB,Intel Core i5-11400H,54.0,https://www.epey.com/laptop/asus-tuf-gaming-f15-fx506hcb-hn144.html
Dell Vostro 3400 B65G7F85N20,12880.7,14.0 İnç,64 GB,Intel Core i7-1165G7,54.0,https://www.epey.com/laptop/dell-vostro-3400-b65g7f85n20.html
MSI GF65 Thin 10SDR-1026,14944.0,15.6 İnç,16 GB,Intel Core i7-10750H,54.0,https://www.epey.com/laptop/msi-gf65-thin-10sdr-1026.html
Game Garaj Slayer 5XL-3050Ti C1,10655.77,17.3 İnç,8 GB,Intel Core i5-11400H,54.0,https://www.epey.com/laptop/game-garaj-slayer-5xl-3050ti-c1.html
HP ZBook Power G7 (2C9N0EA04),28356.55,15.6 İnç,32 GB,Intel Xeon W-10855M,54.0,https://www.epey.com/laptop/hp-zbook-power-g7-2c9n0ea04.html
Lenovo Thinkpad E14 (2) 20TA0056TX,12206.0,14.0 İnç,16 GB,Intel Core i7-1165G7,54.0,https://www.epey.com/laptop/lenovo-thinkpad-e14-2-20ta0056tx.html
Huawei MateBook 14 R7 (16GB/512SSD),,14.0 İnç,16 GB,AMD Ryzen 7 4800H,,https://track.adform.net/C/?bn=50429250
MSI GF63 Thin 11SC-035XTR,9998.98,15.6 İnç,8 GB,Intel Core i5-11400H,53.0,https://www.epey.com/laptop/msi-gf63-thin-11sc-035xtr.html
HP ZBook Power G7 (2C9N0EA02),29069.05,15.6 İnç,16 GB,Intel Xeon W-10855M,53.0,https://www.epey.com/laptop/hp-zbook-power-g7-2c9n0ea02.html
Lenovo Yoga Duet 7 82MA001RTX,15444.0,13.0 İnç,16 GB,Intel Core i7-1165G7,53.0,https://www.epey.com/laptop/lenovo-yoga-duet-7-82ma001rtx.html
Huawei MateBook X Pro 2021 (i7/16/512),11499.0,13.9 İnç,16 GB,Intel Core i7-1165G7,53.0,https://www.epey.com/laptop/huawei-matebook-x-pro-2021-i7-16-512.html
Huawei MateBook X Pro 2021,15809.07,13.9 İnç,16 GB,Intel Core i7-1165G7,53.0,https://www.epey.com/laptop/huawei-matebook-x-pro-i7-512gb.html
Dell G3 15 B750F8512C25,16367.55,15.6 İnç,32 GB,Intel Core i7-10750H,53.0,https://www.epey.com/laptop/dell-g3-15-b750f8512c25.html
Dell Vostro 15 3500 N3008VN3500EMEA01U14,13283.04,15.6 İnç,64 GB,Intel Core i7-1165G7,53.0,https://www.epey.com/laptop/dell-vostro-15-3500-n3008vn3500emea01u14.html
Dell Vostro 15 3500 N3008VN3500EMEA01UZ21,13283.04,15.6 İnç,64 GB,Intel Core i7-1165G7,53.0,https://www.epey.com/laptop/dell-vostro-15-3500-n3008vn3500emea01uz21.html
HP ZBook Firefly 15 G8 (2C9S6EA04),22436.04,15.6 İnç,64 GB,Intel Core i7-1165G7,53.0,https://www.epey.com/laptop/hp-zbook-firefly-15-g8-2c9s6ea04.html
HP ZBook Firefly 15 G7 (1J3Q2EA),21044.04,15.6 İnç,32 GB,Intel Core i7-10610U,53.0,https://www.epey.com/laptop/hp-zbook-firefly-15-g7-1j3q2ea.html
Lenovo ThinkBook 15p 20V3000TTX17,18315.06,15.6 İnç,16 GB,Intel Core i7-10750H,53.0,https://www.epey.com/laptop/lenovo-thinkbook-15p-20v3000ttx17.html
Dell XPS 13 9310-2FS65W161N,23835.0,13.4 İnç,16 GB,Intel Core i7-1165G7,53.0,https://www.epey.com/laptop/dell-xps-13-9310-2fs65w161n.html
Asus VivoBook 15 X571LI-AL078T,13679.0,15.6 İnç,16 GB,Intel Core i7-10750H,53.0,https://www.epey.com/laptop/asus-vivobook-15-x571li-al078t.html
Dell XPS 17-9700 XPS179700CMLH1200A1,31796.04,17.0 İnç,16 GB,Intel Core i7-10750H,53.0,https://www.epey.com/laptop/dell-xps-17-9700-xps179700cmlh1200a1.html
HP Pavilion 14-ce3005nt (3H908EA),10236.52,14.0 İnç,16 GB,Intel Core i7-1065G7,53.0,https://www.epey.com/laptop/hp-pavilion-14-ce3005nt-3h908ea.html
Lenovo ThinkPad E15 G3 20YG0048TX11,13251.55,15.6 İnç,40 GB,AMD Ryzen 7 5700U,53.0,https://www.epey.com/laptop/lenovo-thinkpad-e15-g3-20yg0048tx11.html
Dell XPS 13 9310 XPS139310TGLU3600P,25664.0,13.4 İnç,16 GB,Intel Core i7-1185G7,53.0,https://www.epey.com/laptop/dell-xps-13-9310-xps139310tglu3600p.html
Asus VivoBook 15 X571GT-AL067T,15599.02,15.6 İnç,16 GB,Intel Core i7-9750H,53.0,https://www.epey.com/laptop/asus-x571gt-al067t.html
"Microsoft Surface Book 2 15""",37788.0,15.0 İnç,16 GB,Intel Core i7-8650U,53.0,https://www.epey.com/laptop/microsoft-surface-book-2-15-hnr-00001.html
Lenovo IdeaPad Gaming 3 81Y400XMTX17,15090.02,15.6 İnç,32 GB,Intel Core i7-10750H,53.0,https://www.epey.com/laptop/lenovo-ideapad-gaming-3-81y400xmtx17.html
Dell Precision M3551 T08670,15849.04,15.6 İnç,16 GB,Intel Core i5-10400H,53.0,https://www.epey.com/laptop/dell-precision-m3551-t08670.html
Dell Vostro 15 3500 N3008VN3500EMEA01UZ20,12995.04,15.6 İnç,64 GB,Intel Core i7-1165G7,53.0,https://www.epey.com/laptop/dell-vostro-15-3500-n3008vn3500emea01uz20.html
HP Elite Dragonfly G2 (336H1EA),18673.38,13.3 İnç,16 GB,Intel Core i7-1165G7,53.0,https://www.epey.com/laptop/hp-elite-dragonfly-g2-336h1ea.html
Asus TUF Gaming F15 FX506HC-HN011,12999.0,15.6 İnç,8 GB,Intel Core i5-11400H,53.0,https://www.epey.com/laptop/asus-tuf-gaming-f15-fx506hc-hn011.html
Dell Vostro 3400 N4013VN3400EMEA01A22,11406.3,14.0 İnç,64 GB,Intel Core i5-1135G7,53.0,https://www.epey.com/laptop/dell-vostro-3400-n4013vn3400emea01a22.html
Dell XPS 15-7590 FS75WP165N,17944.0,15.6 İnç,16 GB,Intel Core i7-9750H,53.0,https://www.epey.com/laptop/dell-xps-15-7590-fs75wp165n.html
HP ZBook Studio G7 (1J3S6EA01),27691.55,15.6 İnç,16 GB,Intel Core i7-10850H,53.0,https://www.epey.com/laptop/hp-zbook-studio-g7-1j3s6ea01.html
Lenovo ThinkPad E15 G3 20YG0048TX10,12976.05,15.6 İnç,40 GB,AMD Ryzen 7 5700U,53.0,https://www.epey.com/laptop/lenovo-thinkpad-e15-g3-20yg0048tx10.html
Dell Vostro 3400 N4015VN3400EMEA01U11,12189.57,14.0 İnç,32 GB,Intel Core i7-1165G7,53.0,https://www.epey.com/laptop/dell-vostro-3400-n4015vn3400emea01u11.html
MSI Summit E16 Flip Evo A11MT-012TR,17762.07,16.0 İnç,16 GB,Intel Core i7-1195G7,53.0,https://www.epey.com/laptop/msi-summit-e16-flip-evo-a11mt-012tr.html
HP ZBook Power G7 (2C9N0EA01),28214.05,15.6 İnç,16 GB,Intel Xeon W-10855M,53.0,https://www.epey.com/laptop/hp-zbook-power-g7-2c9n0ea01.html
Lenovo Thinkpad E14 G3 20Y7004ETX,9186.5,14.0 İnç,16 GB,AMD Ryzen 7 5700U,53.0,https://www.epey.com/laptop/lenovo-thinkpad-e14-3-20y7004etx.html
Lenovo ThinkPad E15 G3 20YG004JTX,8671.14,15.6 İnç,16 GB,AMD Ryzen 7 5700U,53.0,https://www.epey.com/laptop/lenovo-thinkpad-e15-g3-20yg004jtx.html
Dell Vostro 3400 N4006VN3400EMEA0_U29,11651.04,14.0 İnç,64 GB,Intel Core i5-1135G7,53.0,https://www.epey.com/laptop/dell-vostro-3400-n4006vn3400emea0-u29.html
HP ZBook 15 G5 (4QH47ES),20444.0,15.6 İnç,16 GB,Intel Xeon E-2176M,53.0,https://www.epey.com/laptop/hp-zbook-15-g5-4qh47es.html
Huawei MateBook 14 R7 (16GB/512SSD),,14.0 İnç,16 GB,AMD Ryzen 7 4800H,,https://track.adform.net/C/?bn=50429250
Lenovo ThinkPad P43s 20RH003VTX,18856.54,14.0 İnç,16 GB,Intel Core i7-8665U,55.0,https://www.epey.com/laptop/lenovo-thinkpad-p43s-20rh003vtx.html
HP Pavilion Gaming 15-ec2021nt (434L6EA),9910.39,15.6 İnç,8 GB,AMD Ryzen 5 5600H,55.0,https://www.epey.com/laptop/hp-pavilion-gaming-15-ec2021nt-434l6ea.html
Dell Vostro 3500 N3003VN3500EMEA0_U16,10706.04,15.6 İnç,32 GB,Intel Core i5-1135G7,55.0,https://www.epey.com/laptop/dell-vostro-3500-n3003vn3500emea0-u16.html
HP Pavilion Gaming 15-ec0010nt (8BS76EA),13649.02,15.6 İnç,16 GB,AMD Ryzen 7 3750H,55.0,https://www.epey.com/laptop/hp-pavilion-gaming-15-ec0010nt-8bs76ea.html
Dell Vostro 3500 N3003VN3500EMEA0_U20,12419.95,15.6 İnç,64 GB,Intel Core i5-1135G7,55.0,https://www.epey.com/laptop/dell-vostro-3500-n3003vn3500emea0-u20.html
HP ZBook Power G7 (2C9N0EA07),30636.55,15.6 İnç,32 GB,Intel Xeon W-10855M,55.0,https://www.epey.com/laptop/hp-zbook-power-g7-2c9n0ea07.html
Asus ROG Strix G15 G513IH-HN002,9776.7,15.6 İnç,8 GB,AMD Ryzen 7 4800H,55.0,https://www.epey.com/laptop/asus-rog-strix-g15-g513ih-hn002.html
HP ZBook Firefly 15 G8 (2C9R5EA),18144.0,15.6 İnç,16 GB,Intel Core i7-1165G7,55.0,https://www.epey.com/laptop/hp-zbook-firefly-15-g8-2c9r5ea.html
Asus ROG Strix G17 G713IC-HX009,11975.0,17.3 İnç,8 GB,AMD Ryzen 7 4800H,55.0,https://www.epey.com/laptop/asus-rog-strix-g17-g713ic-hx009.html
HP Victus 16-e0012nt (4H0S3EA),8999.0,16.1 İnç,8 GB,AMD Ryzen 5 5600H,55.0,https://www.epey.com/laptop/hp-victus-16-e0012nt-4h0s3ea.html
Casper Excalibur G770.1075-BDJ0X,10031.04,15.6 İnç,16 GB,Intel Core i7-10750H,55.0,https://www.epey.com/laptop/casper-excalibur-g770-1075-bdj0x.html
Casper Excalibur G770.1030-B5J0X,10794.89,15.6 İnç,16 GB,Intel Core i5-10300H,55.0,https://www.epey.com/laptop/casper-excalibur-g770-1030-b5j0x.html
Lenovo ThinkBook 15p 20V3000TTX18,20167.55,15.6 İnç,32 GB,Intel Core i7-10750H,55.0,https://www.epey.com/laptop/lenovo-thinkbook-15p-20v3000ttx18.html
Lenovo IdeaPad Gaming 3 81Y400XMTX13,13586.36,15.6 İnç,64 GB,Intel Core i7-10750H,55.0,https://www.epey.com/laptop/lenovo-ideapad-gaming-3-81y400xmtx13.html
Dell Vostro 5515 N1000VN5515EMEA01_2201,11016.98,15.6 İnç,16 GB,AMD Ryzen 7 5700U,55.0,https://www.epey.com/laptop/dell-vostro-5515-n1000vn5515emea01-2201.html
Dell Vostro 3500 N3003VN3500EMEA0_U15,10130.04,15.6 İnç,32 GB,Intel Core i5-1135G7,55.0,https://www.epey.com/laptop/dell-vostro-3500-n3003vn3500emea0-u15.html
Dell XPS 17-9700 XPS179700CMLH1200A5,33476.04,17.0 İnç,32 GB,Intel Core i7-10750H,55.0,https://www.epey.com/laptop/dell-xps-17-9700-xps179700cmlh1200a5.html
Lenovo IdeaPad Gaming 3 81Y400LGTX,10284.74,15.6 İnç,16 GB,Intel Core i5-10300H,55.0,https://www.epey.com/laptop/lenovo-ideapad-gaming-3-81y400lgtx.html
HP Victus 16-e0008nt (4H0S0EA),9749.03,16.1 İnç,8 GB,AMD Ryzen 5 5600H,55.0,https://www.epey.com/laptop/hp-victus-16-e0008nt-4h0s0ea.html
HP ZBook Firefly 14 G8 (2C9Q1EA),18068.04,14.0 İnç,16 GB,Intel Core i7-1165G7,55.0,https://www.epey.com/laptop/hp-zbook-firefly-14-g8-2c9q1ea.html
Dell G3 15 B750F8512C15,13981.78,15.6 İnç,32 GB,Intel Core i7-10750H,55.0,https://www.epey.com/laptop/dell-g3-15-b750f8512c15-siyah.html
MSI GL65 Leopard 10SDR-492A3,15094.55,15.6 İnç,16 GB,Intel Core i7-10750H,55.0,https://www.epey.com/laptop/msi-gl65-leopard-10sdr-492a3.html
Monster Abra A7 V13.2,12099.0,17.3 İnç,8 GB,Intel Core i5-11400H,55.0,https://www.epey.com/laptop/monster-abra-a7-v13-2.html
Casper Excalibur G770.1075-BVJ0A,11199.0,15.6 İnç,16 GB,Intel Core i7-10750H,55.0,https://www.epey.com/laptop/casper-excalibur-g770-1075-bvj0a.html
Dell G3 15 B750F8512C19,16042.03,15.6 İnç,64 GB,Intel Core i7-10750H,55.0,https://www.epey.com/laptop/dell-g3-15-b750f8512c19.html
HP ENVY 17-ch0002nt (4G6H4EA),12355.99,17.3 İnç,16 GB,Intel Core i5-1135G7,55.0,https://www.epey.com/laptop/hp-envy-17-ch0002nt-4g6h4ea.html
Lenovo IdeaPad Gaming 3 81Y400XMTX12,13769.14,15.6 İnç,64 GB,Intel Core i7-10750H,55.0,https://www.epey.com/laptop/lenovo-ideapad-gaming-3-81y400xmtx12.html
HP ZBook Firefly 15 G8 (2C9S9EA),16944.0,15.6 İnç,16 GB,Intel Core i7-1165G7,55.0,https://www.epey.com/laptop/hp-zbook-firefly-15-g8-2c9s9ea.html
HP Pavilion Gaming 15-dk0017nt (8UF06EA),13999.99,15.6 İnç,16 GB,Intel Core i5-9300H,55.0,https://www.epey.com/laptop/hp-15-dk0017nt-8uf06ea.html
Monster Abra A5 V17.2,10229.07,15.6 İnç,8 GB,Intel Core i5-11400H,55.0,https://www.epey.com/laptop/monster-abra-a5-v17-2.html
Casper Excalibur G770.1075-BVH0A,10899.0,15.6 İnç,16 GB,Intel Core i7-10750H,55.0,https://www.epey.com/laptop/casper-excalibur-g770-1075-bvh0a.html
Dell G3 15 B750F8512C14,13644.04,15.6 İnç,32 GB,Intel Core i7-10750H,55.0,https://www.epey.com/laptop/dell-g3-15-b750f8512c14.html
Dell Vostro 3500 N3003VN3500EMEA0_U19,11843.04,15.6 İnç,64 GB,Intel Core i5-1135G7,55.0,https://www.epey.com/laptop/dell-vostro-3500-n3003vn3500emea0-u19.html
HP ZBook Power G7 (2C9N0EA06),29924.05,15.6 İnç,32 GB,Intel Xeon W-10855M,55.0,https://www.epey.com/laptop/hp-zbook-power-g7-2c9n0ea06.html
HP ZBook Firefly 15 G8 (2C9S6EA),17344.0,15.6 İnç,16 GB,Intel Core i7-1165G7,55.0,https://www.epey.com/laptop/hp-zbook-firefly-15-g8-2c9s6ea.html
Huawei MateBook 14 R7 (16GB/512SSD),,14.0 İnç,16 GB,AMD Ryzen 7 4800H,,https://track.adform.net/C/?bn=50429250
MSI Bravo 15 A4DDR-243XTR,12125.06,15.6 İnç,8 GB,AMD Ryzen 7 4800H,53.0,https://www.epey.com/laptop/msi-bravo-15-a4ddr-243xtr.html
Lenovo ThinkPad P43s 20RH0028TX,21964.73,14.0 İnç,16 GB,Intel Core i7-8665U,53.0,https://www.epey.com/laptop/lenovo-thinkpad-p43s-20rh0028tx.html
Game Garaj Slayer 5XL-1650,10201.72,17.3 İnç,8 GB,Intel Core i5-11400H,53.0,https://www.epey.com/laptop/game-garaj-slayer-5xl-1650.html
Dell XPS 13 9310 XPS1393102TGLU1800,20836.56,13.4 İnç,16 GB,Intel Core i7-1165G7,53.0,https://www.epey.com/laptop/dell-xps-13-9310-xps1393102tglu1800.html
Lenovo ThinkPad E15 G3 20YG004MTX,9736.55,15.6 İnç,16 GB,AMD Ryzen 7 5700U,53.0,https://www.epey.com/laptop/lenovo-thinkpad-e15-g3-20yg004mtx.html
Lenovo ThinkPad E15 G3 20YG0048TX09,12318.58,15.6 İnç,40 GB,AMD Ryzen 7 5700U,53.0,https://www.epey.com/laptop/lenovo-thinkpad-e15-g3-20yg0048tx09.html
Lenovo IdeaPad Gaming 3 81Y400D1TX16,15115.85,15.6 İnç,32 GB,Intel Core i7-10750H,53.0,https://www.epey.com/laptop/lenovo-ideapad-gaming-3-81y400d1tx16.html
Dell Vostro 3400 N4013VN3400EMEA01A21,10802.04,14.0 İnç,64 GB,Intel Core i5-1135G7,53.0,https://www.epey.com/laptop/dell-vostro-3400-n4013vn3400emea01a21.html
Lenovo IdeaPad Gaming 3 81Y400XMTX09,16718.28,15.6 İnç,32 GB,Intel Core i7-10750H,53.0,https://www.epey.com/laptop/lenovo-ideapad-gaming-3-81y400xmtx09.html
Asus ZenBook 13 UM325UA-KG093T,14699.0,13.3 İnç,16 GB,AMD Ryzen 7 5700U,53.0,https://www.epey.com/laptop/asus-zenbook-13-um325ua-kg093t.html
Dell Vostro 3400 N4015VN3400EMEA01U10,11452.37,14.0 İnç,32 GB,Intel Core i7-1165G7,53.0,https://www.epey.com/laptop/dell-vostro-3400-n4015vn3400emea01u10.html
Casper Excalibur G780.1030-B5J0X,12999.0,17.3 İnç,16 GB,Intel Core i5-10300H,53.0,https://www.epey.com/laptop/casper-excalibur-g780-1030-b5j0x.html
Casper Excalibur G770.1140-8VJ0T-B,11299.0,15.6 İnç,8 GB,Intel Core i5-11400H,53.0,https://www.epey.com/laptop/casper-excalibur-g770-1140-8vj0t-b.html
Dell Vostro 3400 N4006VN3400EMEA0_U28,11138.04,14.0 İnç,64 GB,Intel Core i5-1135G7,53.0,https://www.epey.com/laptop/dell-vostro-3400-n4006vn3400emea0-u28.html
Dell Vostro 3400 N4015VN3400EMEA01U13,13433.59,14.0 İnç,64 GB,Intel Core i7-1165G7,53.0,https://www.epey.com/laptop/dell-vostro-3400-n4015vn3400emea01u13.html
Dell Vostro 3400 N4013VN3400EMEA01A20,10466.04,14.0 İnç,64 GB,Intel Core i5-1135G7,53.0,https://www.epey.com/laptop/dell-vostro-3400-n4013vn3400emea01a20.html
MSI GP73 Leopard 8RD-223XTR,13095.0,17.3 İnç,16 GB,Intel Core i7-8750H,53.0,https://www.epey.com/laptop/msi-gp73-8rd-223xtr.html
Lenovo ThinkBook 15p 20V30007TX,12159.05,15.6 İnç,16 GB,Intel Core i5-10300H,53.0,https://www.epey.com/laptop/lenovo-thinkbook-15p-20v30007tx.html
Lenovo Thinkpad E14 (2) 20T6000VTX15,10648.55,14.0 İnç,24 GB,AMD Ryzen 5 4500U,53.0,https://www.epey.com/laptop/lenovo-thinkpad-e14-2-20t6000vtx15.html
Lenovo ThinkBook 14s Yoga 20WE004JTX,11669.35,14.0 İnç,16 GB,Intel Core i7-1165G7,53.0,https://www.epey.com/laptop/lenovo-thinkbook-14s-yoga-20we004jtx.html
Lenovo ThinkPad E15 G3 20YG0048TX08,12035.04,15.6 İnç,40 GB,AMD Ryzen 7 5700U,53.0,https://www.epey.com/laptop/lenovo-thinkpad-e15-g3-20yg0048tx08.html
